Court,Date,Crim Total New,Crim Reactive,Crim Uncontest Dispo,Dismissed by Pro PreCourtTrial,Total Dispo PreCourtTrial,Guilty Plea or Nolo Contend,Guilty by Court,Guilty by Jury,Court Aquittals,Jury Aquittals,Dismissed by Pro AtCourtTrial,Total Dispo AtCourtTrial,Compliance Dismissals,Crim Total Disposed,Crim NonPark Active,Crim NonPark Inactive,Crim NonPark Total,Crim Park Active,Crim Park Inactive,Crim Park Total,Crim County Ord TM Active,Crim County Ord TM Inactive,Crim County Ord TM Total,Crim Penal Code Active,Crim Penal Code Inactive,Crim Penal Code Total,Crim OSL Active,Crim OSL Inactive,Crim OSL Total,Crim Count Ord NT Active,Crim Count Ord NT Inactive,Crim Count Ord NT Total,Crim Total Docket,Crim Active Cases,Crim Inactive Cases,Crim Appeal AfterTrial ,Crim Appeal NoTrial,Civil Total New,Civil Active Cases,Civil Inactive Cases,Civil Total Disposed,Civil Total Docket,Crim Made Inactive,EV on Docket,SC on Docket,DC on Docket,DC Agreed J,EV Agreed J,SC Agreed J,Total Agreed J,DC TrialHearing,EV TrialHearing,SC TrialHearing,Total Trial Hearing,DC Jury Trial,EV Jury Trial,SC Jury Trial,Total Jury Trial,DC DiWOP,EV DiWOP,SC DiWOP,Total DiWOP,DC NSDP,EV NSDP,SC NSDP,Total NSDP,DC Other Disp,EV Other Disp,SC Other Disp,Total Other Disp,DC Total New,EV Total New,SC Total New,DC DJ,DC Disposed,EV DJ,EV Disposed,SC DJ,SC Disposed,Total DJ,Class AB Warrants,Search Warrants,Felony Warrants,Class C Warrants,Jail Credit Cases,Total Fines
Precinct 3 Place 1,1/2022,"1,791",105,178,4,182,66,114,0,0,0,847,"1,027",319,"1,735","33,729","9,443","35,540",86,14,89,0,0,0,859,161,906,630,200,661,66,38,70,"37,266","35,370","9,856",0,0,762,"5,697",36,737,"6,434",0,"1,097",590,"4,747",18,0,0,18,1,127,2,130,0,0,0,0,0,1,0,1,93,138,2,233,21,83,9,113,247,491,24,47,180,195,544,0,13,242,0,0,0,0,62,"$233,561"
Precinct 3 Place 1,1/2022,"2,154",104,218,1,219,27,44,0,0,0,849,920,370,"1,613","33,850","9,338","36,028",82,14,89,0,0,0,885,160,941,640,200,653,67,37,71,"37,782","35,524","9,749",0,0,716,"5,805",35,754,"6,559",0,961,604,"4,994",14,2,0,16,1,120,6,127,0,1,0,1,0,0,0,0,101,113,1,215,22,105,7,134,280,409,27,79,217,168,509,14,28,261,0,0,0,0,61,"$252,040"
Precinct 3 Place 1,1/2022,"2,365",69,169,0,169,23,47,0,0,0,957,"1,027",358,"1,613","34,462","9,237","36,803",84,14,95,0,0,0,916,158,955,637,200,679,69,36,70,"38,602","36,168","9,645",2,0,708,"5,865",35,753,"6,618",0,830,592,"5,196",21,0,0,21,0,97,5,102,0,0,0,0,0,0,0,0,125,100,0,225,32,76,9,117,306,378,24,130,308,157,430,1,15,288,0,0,0,0,42,"$219,750"
Precinct 3 Place 1,1/2022,"2,405",53,169,0,169,44,446,1,1,0,717,"1,209",320,"1,743","35,227","9,172","37,620",92,14,103,0,0,0,937,157,961,661,198,685,68,35,74,"39,443","36,985","9,576",1,0,778,"6,235",37,493,"6,730",0,836,602,"5,292",12,0,0,12,0,70,6,76,0,0,0,0,1,20,0,21,47,56,2,105,8,16,4,28,317,436,25,150,218,97,259,4,16,251,0,0,0,0,42,"$230,280"
Precinct 3 Place 1,1/2023,"2,050",101,183,1,184,57,125,0,0,0,570,752,358,"1,363","35,937","9,122","38,016",101,14,107,0,0,0,935,157,952,659,196,706,69,34,71,"39,852","37,701","9,523",0,0,841,"6,288",37,838,"7,126",2,"1,100",614,"5,412",10,2,0,12,1,129,7,137,0,0,0,0,0,25,1,26,68,187,2,257,19,35,3,57,290,523,28,98,196,251,629,0,13,349,0,0,0,2,64,"$237,213"
Precinct 3 Place 1,1/2023,"1,810",110,228,4,232,71,102,0,0,0,"1,127","1,300",396,"2,010","36,738","9,032","38,584",104,13,107,0,0,0,897,155,941,682,190,705,70,34,74,"40,411","38,491","9,424",0,0,865,"6,548",37,667,"7,215",2,885,626,"5,704",27,0,0,27,0,98,3,101,0,0,0,0,2,2,0,4,106,130,1,237,6,52,12,70,426,414,25,62,203,164,446,2,18,228,0,0,0,2,74,"$301,158"
Precinct 3 Place 1,1/2023,"1,717",96,238,1,239,31,154,0,0,0,"1,054","1,239",403,"1,942","36,660","8,923","38,395",100,13,108,0,0,0,895,156,943,671,190,689,70,34,74,"40,209","38,396","9,316",0,0,774,"6,675",36,639,"7,314",453,758,644,"5,912",17,0,0,17,1,106,12,119,0,1,0,1,0,0,0,0,105,89,5,199,26,65,8,99,408,331,35,12,161,192,453,0,25,204,0,0,0,453,57,"$287,438"
Precinct 3 Place 1,1/2023,"1,561",103,144,1,145,33,63,0,0,0,977,"1,073",289,"1,585","36,071","9,271","37,697",103,14,110,0,0,0,902,164,922,664,189,675,72,34,72,"39,476","37,812","9,672",0,0,790,"6,989",36,566,"7,555",565,682,644,"6,229",24,0,0,24,3,52,1,56,0,2,0,2,0,0,0,0,73,80,3,156,28,49,5,82,390,376,24,144,272,94,277,8,17,246,0,0,0,565,78,"$215,970"
Precinct 3 Place 1,1/2023,"1,865",127,186,1,187,47,147,0,0,0,"1,731","1,925",411,"2,621","35,622","9,724","37,542",106,15,111,0,0,0,886,164,930,639,197,655,72,34,79,"39,317","37,325","10,134",0,0,871,"7,077",36,872,"7,949",858,861,651,"6,437",30,0,1,31,0,100,9,109,0,0,0,0,0,2,0,2,92,142,3,237,34,67,8,109,391,455,25,228,384,152,463,4,25,384,0,0,0,858,103,"$234,548"
Precinct 3 Place 1,1/2023,"1,696",189,176,0,176,33,161,0,0,0,916,"1,110",328,"1,741","34,149","10,444","36,006",95,16,97,0,0,0,884,168,893,609,202,626,79,34,79,"37,701","35,816","10,864",0,0,917,"7,175",36,869,"8,044","4,587",903,651,"6,490",16,0,0,16,2,133,9,144,0,0,0,0,0,0,0,0,103,126,1,230,26,61,8,95,387,505,25,158,305,225,545,1,19,384,0,0,0,"4,587",131,"$275,870"
Precinct 3 Place 1,1/2023,"1,610",185,147,0,147,24,91,0,0,0,652,767,281,"1,340","29,845","14,720","31,600",84,26,85,0,0,0,826,211,844,543,269,561,75,36,78,"33,168","31,373","15,262",0,0,836,"7,317",37,717,"8,035","3,018",795,659,"6,581",18,0,0,18,0,80,7,87,0,0,1,1,0,0,0,0,146,122,3,271,26,26,5,57,372,437,27,129,319,150,378,4,20,283,0,0,0,"3,018",135,"$218,672"
Precinct 3 Place 1,1/2023,"1,843",286,192,0,192,28,193,0,0,0,"1,032","1,253",380,"1,997","27,370","17,471","29,437",68,35,72,0,0,0,795,233,812,500,318,533,76,38,84,"30,938","28,809","18,095",0,0,919,"7,603",37,689,"8,292","1,324",838,658,"6,796",24,0,0,24,3,112,4,119,0,0,0,0,0,0,0,0,112,134,5,251,17,38,3,58,482,420,17,28,184,208,492,1,13,237,0,0,0,"1,324",167,"$242,026"
Precinct 3 Place 1,1/2023,"2,169",296,187,0,187,34,140,0,0,0,622,796,319,"1,505","26,227","18,498","28,571",65,37,73,0,0,0,762,246,823,488,311,537,78,40,81,"30,085","27,620","19,132",0,0,825,"7,803",37,656,"8,459",976,765,683,"7,011",40,0,0,40,3,88,2,93,0,0,0,0,0,0,0,0,140,115,1,256,21,28,11,60,367,419,39,32,236,172,403,3,17,207,0,0,0,977,207,"$206,957"
Precinct 3 Place 1,1/2023,"1,897",317,198,1,199,42,99,0,0,0,"1,009","1,150",310,"1,989","26,164","19,166","28,254",69,37,72,0,0,0,788,253,850,516,310,568,72,45,79,"29,823","27,609","19,811",0,0,948,"8,180",39,652,"8,834","1,939",791,691,"7,352",44,0,0,44,2,94,9,105,0,0,0,0,0,0,1,1,96,146,7,249,30,10,9,49,495,431,22,34,206,166,416,4,30,204,0,0,0,"1,939",237,"$220,986"
Precinct 3 Place 1,1/2023,"1,470",296,184,0,184,21,68,0,0,0,892,981,277,"1,656","24,431","20,760","26,114",61,41,69,0,0,0,812,260,854,520,327,553,73,46,73,"27,663","25,897","21,434",0,0,908,"8,423",40,684,"9,108","1,680",769,688,"7,651",42,0,0,42,4,99,2,105,0,0,0,0,0,0,0,0,105,111,2,218,33,49,7,89,487,395,26,54,238,175,434,1,12,230,0,0,0,"1,680",197,"$198,525"
Precinct 3 Place 1,1/2023,"1,625",329,199,0,199,18,163,0,0,0,829,"1,010",227,"1,672","22,861","22,131","24,749",59,43,71,0,0,0,824,264,854,513,334,528,71,46,80,"26,282","24,328","22,818",0,0,769,"8,599",41,619,"9,219",525,708,705,"7,806",60,1,1,62,3,88,4,95,0,0,0,0,1,1,0,2,153,96,2,251,29,31,12,72,367,373,29,13,259,123,340,1,20,137,0,0,0,525,227,"$190,085"
Precinct 3 Place 1,1/2024,"1,690",391,208,0,208,36,164,0,0,0,875,"1,075",392,"2,112","22,620","22,322","24,601",71,43,80,0,0,0,830,261,856,485,340,532,74,48,92,"26,161","24,080","23,014",0,0,"1,086","8,940",41,799,"9,739",904,836,721,"8,182",25,0,0,25,0,132,6,138,0,0,0,0,0,0,0,0,206,138,0,344,42,28,9,79,581,469,36,35,308,178,476,0,15,213,0,0,0,905,243,"$235,669"
Precinct 3 Place 1,1/2024,"1,998",361,171,0,171,23,94,5,0,0,984,"1,106",302,"1,805","21,692","22,825","23,961",70,40,72,0,0,0,829,262,871,480,351,526,76,48,76,"25,506","23,147","23,526",0,0,"1,042","8,977",40,"1,034","10,011",891,775,740,"8,496",31,0,1,32,6,118,8,132,0,1,0,1,30,0,106,136,198,145,4,347,46,25,9,80,582,424,36,123,434,177,466,6,134,306,0,0,0,892,229,"$223,295"
Precinct 3 Place 1,1/2024,"1,611",324,177,0,177,24,59,0,0,0,893,976,309,"1,670","21,366","23,337","23,189",65,41,75,0,0,0,829,265,856,478,363,551,70,50,72,"24,743","22,808","24,056",0,0,742,"8,931",38,848,"9,779",696,575,633,"8,571",47,0,1,48,6,55,1,62,0,0,0,0,34,0,12,46,211,104,11,326,28,38,14,80,455,266,21,196,522,86,283,4,43,286,0,0,0,696,215,"$199,348"
Precinct 3 Place 1,1/2024,"2,226",437,255,1,256,28,120,0,0,0,"1,408","1,556",364,"2,470","20,907","23,708","23,492",68,38,75,0,0,0,823,271,865,502,361,530,70,51,71,"25,033","22,370","24,429",0,0,"1,139","9,154",28,974,"10,129",618,738,612,"8,779",62,0,1,63,8,67,5,80,0,0,0,0,20,1,9,30,256,87,10,353,38,21,18,77,676,443,20,220,604,142,318,9,52,371,0,0,0,618,285,"$268,480"
Precinct 3 Place 1,1/2024,"2,241",351,249,0,249,33,83,0,0,1,824,941,431,"1,876","20,514","23,894","22,962",67,39,73,0,0,0,820,259,873,484,367,556,67,51,80,"24,544","21,952","24,610",0,0,893,"8,967",27,"1,093","10,061","1,261",789,593,"8,679",46,0,0,46,11,101,10,122,0,0,0,0,92,8,25,125,183,116,1,300,50,47,10,107,492,368,33,159,541,231,503,3,49,393,0,0,0,"1,261",248,"$249,515"
