Court,Date,Crim Total New,Crim Reactive,Crim Uncontest Dispo,Dismissed by Pro PreCourtTrial,Total Dispo PreCourtTrial,Guilty Plea or Nolo Contend,Guilty by Court,Guilty by Jury,Court Aquittals,Jury Aquittals,Dismissed by Pro AtCourtTrial,Total Dispo AtCourtTrial,Compliance Dismissals,Crim Total Disposed,Crim NonPark Active,Crim NonPark Inactive,Crim NonPark Total,Crim Park Active,Crim Park Inactive,Crim Park Total,Crim County Ord TM Active,Crim County Ord TM Inactive,Crim County Ord TM Total,Crim Penal Code Active,Crim Penal Code Inactive,Crim Penal Code Total,Crim OSL Active,Crim OSL Inactive,Crim OSL Total,Crim Count Ord NT Active,Crim Count Ord NT Inactive,Crim Count Ord NT Total,Crim Total Docket,Crim Active Cases,Crim Inactive Cases,Crim Appeal AfterTrial ,Crim Appeal NoTrial,Civil Total New,Civil Active Cases,Civil Inactive Cases,Civil Total Disposed,Civil Total Docket,Crim Made Inactive,EV on Docket,SC on Docket,DC on Docket,DC Agreed J,EV Agreed J,SC Agreed J,Total Agreed J,DC TrialHearing,EV TrialHearing,SC TrialHearing,Total Trial Hearing,DC Jury Trial,EV Jury Trial,SC Jury Trial,Total Jury Trial,DC DiWOP,EV DiWOP,SC DiWOP,Total DiWOP,DC NSDP,EV NSDP,SC NSDP,Total NSDP,DC Other Disp,EV Other Disp,SC Other Disp,Total Other Disp,DC Total New,EV Total New,SC Total New,DC DJ,DC Disposed,EV DJ,EV Disposed,SC DJ,SC Disposed,Total DJ,Class AB Warrants,Search Warrants,Felony Warrants,Class C Warrants,Jail Credit Cases,Total Fines
Precinct 1 Place 1,1/2020,"1,388","1,057",127,6,133,105,44,11,0,0,"1,274","1,434",180,"2,290","11,452","27,597","13,835",69,82,70,0,0,0,393,334,425,312,335,338,66,96,69,"14,737","12,292","28,444",0,0,"1,062","7,227",63,472,"7,701",372,515,"1,857","5,329",6,2,0,8,0,39,1,40,0,0,0,0,22,0,16,38,140,50,26,216,12,47,9,68,428,376,258,0,180,102,240,0,52,102,0,0,0,372,547,"$172,797"
Precinct 1 Place 1,1/2020,"1,472",879,188,3,191,130,80,20,0,0,955,"1,185",153,"1,946","11,331","26,927","13,586",63,83,67,0,0,0,390,325,424,304,329,355,63,95,70,"14,502","12,151","27,759",0,0,626,"6,972",63,897,"7,869",139,550,"1,854","5,465",27,4,0,31,24,51,4,79,0,0,0,0,8,0,20,28,337,62,31,430,7,83,9,99,317,275,34,62,465,141,341,27,91,230,0,0,0,139,419,"$189,497"
Precinct 1 Place 1,1/2020,"1,095",384,209,2,211,60,28,5,0,0,238,331,145,901,"11,668","26,232","13,105",61,83,62,0,0,0,385,313,398,285,302,311,65,90,67,"13,943","12,464","27,020",0,0,458,"7,135",63,301,"7,436",368,362,"1,805","5,269",15,4,0,19,0,14,1,15,0,0,0,0,7,0,7,14,55,35,13,103,10,78,1,89,270,153,35,0,87,61,192,0,22,61,0,0,0,368,223,"$158,290"
Precinct 1 Place 1,1/2020,362,147,134,0,134,8,7,0,0,0,3,18,74,288,"11,872","26,208","12,362",56,83,61,0,0,0,385,315,395,297,308,301,63,90,63,"13,182","12,673","27,004",0,0,720,"7,509",63,86,"7,595",0,261,"1,862","5,472",14,0,1,15,0,0,1,1,0,0,0,0,0,0,0,0,37,5,12,54,6,0,10,16,290,91,339,0,57,0,5,0,24,0,0,0,0,0,66,"$74,701"
Precinct 1 Place 1,1/2020,886,417,158,8,166,20,9,0,0,0,466,495,101,902,"12,186","26,069","13,442",59,81,65,0,0,0,414,313,427,305,308,332,62,90,63,"14,329","13,026","26,861",0,0,466,"7,866",63,109,"7,975",0,395,"1,879","5,701",12,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,39,33,9,81,8,2,5,15,286,139,41,0,59,0,35,0,15,0,0,0,0,0,145,"$99,128"
Precinct 1 Place 1,1/2020,810,"1,156",153,1,154,36,19,0,0,0,968,"1,023",123,"1,419","12,654","25,666","14,521",62,80,68,0,0,0,411,307,452,312,302,363,63,89,64,"15,468","13,502","26,444",0,0,464,"8,127",65,213,"8,341",490,512,"1,919","5,910",3,0,8,11,0,22,0,22,0,0,0,0,0,0,0,0,15,51,12,78,9,57,9,75,266,152,46,0,27,27,157,0,29,27,0,0,0,490,121,"$105,867"
Precinct 1 Place 1,1/2020,934,369,180,3,183,82,81,0,0,0,363,526,85,923,"12,749","25,052","13,987",59,77,61,0,0,0,424,281,450,331,279,367,61,89,62,"14,927","13,624","25,778",0,0,696,"8,622",65,203,"8,825",145,529,"1,927","6,369",4,0,0,4,0,1,1,2,0,0,0,0,0,0,0,0,124,39,14,177,6,6,7,19,487,175,34,0,134,1,47,0,22,1,0,0,0,145,131,"$162,006"
Precinct 1 Place 1,1/2020,"1,045",392,161,0,161,52,38,0,0,0,117,207,44,532,"12,984","24,865","14,374",60,77,65,0,0,0,437,272,455,324,252,348,60,88,60,"15,302","13,865","25,554",0,0,418,"8,385",65,657,"9,042",27,645,"1,937","6,460",11,0,9,20,2,69,2,73,0,0,0,0,0,0,0,0,65,53,6,124,250,85,3,338,225,163,30,0,328,102,309,0,20,102,0,0,0,27,121,"$121,138"
Precinct 1 Place 1,1/2020,"1,057",885,144,0,144,47,24,0,0,0,"1,109","1,180",52,"1,471","13,835","24,511","15,656",62,75,75,0,0,0,452,271,490,345,245,415,59,88,59,"16,695","14,753","25,190",0,0,427,"6,825",67,"1,990","8,817",0,409,"1,986","6,422",10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,219,26,10,255,"1,681",33,11,"1,725",291,73,63,0,"1,910",0,59,0,21,0,0,0,0,0,98,"$106,540"
Precinct 1 Place 1,1/2020,"1,028","1,152",138,1,139,62,43,0,0,0,513,618,176,"1,066","14,316","23,709","16,412",62,64,65,0,0,0,467,255,488,344,189,402,57,88,59,"17,426","15,246","24,305",0,0,385,"6,963",67,252,"7,215",0,454,"2,022","4,739",14,0,0,14,0,8,0,8,0,0,0,0,0,0,0,0,28,13,16,57,116,34,13,163,230,104,51,0,158,10,65,0,29,10,0,0,0,0,134,"$93,435"
Precinct 1 Place 1,1/2020,"1,038",714,104,0,104,33,40,0,0,0,648,721,78,"1,035","15,410","22,604","17,096",61,61,63,0,0,0,471,244,507,361,158,386,57,86,60,"18,112","16,360","23,153",0,0,349,"6,816",69,498,"7,316",0,520,"2,040","4,756",10,1,1,12,0,19,1,20,0,0,0,0,0,1,0,1,79,33,17,129,238,77,0,315,175,130,44,0,327,21,152,0,19,21,0,0,0,0,128,"$91,222"
Precinct 1 Place 1,1/2020,"1,010",405,128,0,128,81,36,0,0,0,364,481,124,863,"16,110","21,914","17,471",61,60,64,0,0,0,486,228,496,374,154,414,56,83,57,"18,502","17,087","22,439",0,0,558,"7,105",68,269,"7,374",9,478,"2,063","4,833",16,1,4,21,0,23,4,27,0,0,0,0,0,1,0,1,47,31,13,91,7,52,20,79,404,110,44,0,70,47,155,3,44,50,0,0,0,9,129,"$104,260"
Precinct 1 Place 1,1/2021,"1,033",530,185,0,185,167,63,0,0,0,456,686,128,"1,113","16,694","21,527","18,195",63,59,67,0,0,0,493,224,510,408,151,447,54,82,56,"19,275","17,712","22,043",0,0,391,"7,011",68,444,"7,455",3,449,"2,067","4,939",7,0,0,7,0,8,0,8,0,0,0,0,0,0,1,1,31,25,25,81,272,50,13,335,221,125,45,0,310,12,95,0,39,12,0,0,0,3,115,"$118,423"
Precinct 1 Place 1,1/2021,828,530,122,2,124,54,38,0,0,0,614,706,117,"1,081","17,124","21,017","18,418",66,59,72,0,0,0,490,214,518,429,147,459,53,80,53,"19,520","18,162","21,517",0,0,445,"7,152",68,300,"7,452",175,424,"2,061","4,967",13,0,0,13,0,16,0,16,0,0,0,0,41,1,6,48,32,18,6,56,105,26,5,136,342,70,33,0,191,31,92,0,17,31,0,0,0,175,133,"$90,633"
Precinct 1 Place 1,1/2021,"1,279",533,184,0,184,100,46,0,0,0,503,649,138,"1,186","17,206","20,667","18,929",68,57,83,0,0,0,492,211,504,446,147,494,52,80,66,"20,076","18,264","21,162",0,0,535,"7,345",70,339,"7,686",812,471,"2,128","5,087",19,2,0,21,0,21,2,23,0,0,0,0,0,0,0,0,78,26,29,133,22,62,14,98,316,138,81,0,119,60,171,4,49,64,0,0,0,813,214,"$170,783"
Precinct 1 Place 1,1/2021,"1,285",606,185,18,203,75,54,0,0,0,901,"1,030",116,"1,545","17,008","20,944","18,817",78,52,86,0,0,0,477,214,497,466,151,513,58,80,65,"19,978","18,087","21,441",0,0,631,"7,598",73,404,"8,005","1,036",474,"2,181","5,350",16,0,0,16,0,13,6,19,0,0,0,0,76,0,1,77,101,33,30,164,30,53,16,99,383,174,74,0,223,28,127,1,54,29,0,0,0,"1,036",198,"$153,724"
Precinct 1 Place 1,1/2021,"1,104",715,165,4,169,78,45,0,0,0,"1,533","1,656",82,"2,115","16,362","21,369","18,115",73,54,78,0,0,0,438,218,466,467,152,489,66,78,77,"19,225","17,406","21,871",0,0,515,"7,838",75,330,"8,170","1,100",491,"2,238","5,441",10,0,0,10,0,20,8,28,0,0,0,0,68,3,2,73,69,47,25,141,5,35,9,49,315,146,54,1,153,28,133,0,44,29,0,1,0,"1,099",214,"$132,617"
Precinct 1 Place 1,1/2021,969,700,182,22,204,98,92,0,0,0,666,856,113,"1,459","15,027","21,748","16,629",66,56,72,0,0,0,407,215,420,446,158,486,70,79,78,"17,685","16,016","22,256",0,0,363,"7,910",75,322,"8,232",869,500,"2,290","5,442",7,0,1,8,10,22,6,38,0,0,0,0,56,1,1,58,70,18,13,101,14,52,26,92,162,141,60,1,158,23,116,1,48,25,0,0,0,869,289,"$160,364"
Precinct 1 Place 1,1/2021,"1,193",707,120,51,171,55,44,0,0,0,943,"1,042",102,"1,582","14,449","21,932","16,269",66,54,69,0,0,0,395,208,411,437,154,484,73,77,87,"17,320","15,420","22,425",1,0,424,"8,002",77,365,"8,369",734,521,"2,340","5,508",19,0,0,19,4,12,6,22,0,0,0,0,0,0,74,74,90,34,25,149,8,52,8,68,223,138,63,3,124,28,126,2,115,33,0,0,0,734,271,"$115,390"
Precinct 1 Place 1,1/2021,"1,717",699,184,0,184,120,58,0,0,0,987,"1,165",157,"1,744","14,139","21,953","16,490",62,54,67,0,0,0,369,208,390,428,162,460,81,75,88,"17,495","15,079","22,452",0,0,498,"8,130",78,385,"8,516",467,652,"2,300","5,564",15,0,2,17,7,14,10,31,0,0,0,0,0,0,0,0,79,36,25,140,11,78,80,169,181,257,60,0,112,22,150,6,123,28,0,0,0,467,234,"$148,553"
Precinct 1 Place 1,1/2021,"1,354","1,101",183,1,184,116,34,0,0,0,"1,091","1,241",134,"1,771","14,382","21,731","16,749",62,51,68,0,0,0,350,206,384,420,159,451,77,73,94,"17,746","15,291","22,220",0,0,374,"8,044",79,483,"8,528",513,680,"2,261","5,587",13,0,0,13,1,17,1,19,0,0,0,0,0,0,0,0,212,47,16,275,51,75,5,131,136,178,60,0,277,45,184,0,22,45,0,0,0,512,217,"$126,954"
Precinct 1 Place 1,1/2021,"1,404",593,185,1,186,91,47,0,0,0,969,"1,107",125,"1,637","14,576","21,165","16,498",64,47,67,0,0,0,338,194,357,403,160,448,83,67,91,"17,461","15,464","21,633",0,0,417,"8,091",79,382,"8,473",350,694,"2,295","5,484",18,0,0,18,4,23,8,35,0,0,0,0,4,0,22,26,80,61,15,156,23,86,14,123,174,198,45,0,129,23,193,1,60,24,0,0,0,350,221,"$130,649"
Precinct 1 Place 1,1/2021,"1,242",775,173,1,174,74,36,0,0,0,824,934,167,"1,520","14,630","20,923","16,591",63,46,65,0,0,0,310,192,340,397,164,417,75,65,79,"17,492","15,475","21,390",0,0,258,"7,801",80,192,"7,993",563,567,"2,294","5,132",7,3,1,11,26,6,2,34,0,0,0,0,0,0,1,1,33,26,30,89,11,20,1,32,63,139,56,2,79,23,78,0,35,25,0,0,0,563,238,"$140,898"
Precinct 1 Place 1,1/2021,"1,758",715,126,0,126,110,44,0,0,0,824,978,158,"1,491","14,624","20,705","17,031",62,49,66,0,0,0,322,183,348,370,173,398,68,68,76,"17,919","15,446","21,178",0,0,396,"7,836",80,436,"8,273",299,759,"2,321","5,193",21,1,0,22,21,16,1,38,0,0,0,0,1,0,22,23,69,38,15,122,138,71,3,212,128,210,58,0,250,19,145,0,41,19,0,0,0,299,242,"$128,213"
Precinct 1 Place 1,1/2022,"1,360",437,209,33,242,68,36,0,0,0,329,433,220,"1,161","15,314","20,299","17,055",61,47,66,0,0,0,341,178,360,363,174,391,68,64,72,"17,944","16,147","20,762",1,0,502,"7,378",82,986,"8,366",598,952,"2,344","5,070",16,4,0,20,0,63,1,64,0,0,0,0,71,0,0,71,50,85,11,146,9,126,5,140,117,334,51,397,543,148,426,0,17,545,0,0,0,598,270,"$155,351"
Precinct 1 Place 1,1/2022,"1,484",542,257,10,267,81,39,4,0,0,804,928,149,"1,608","15,409","20,428","17,378",56,50,60,0,0,0,343,174,361,344,207,374,67,65,72,"18,245","16,219","20,924",0,0,682,"7,530",82,505,"8,035",420,987,"2,440","4,608",7,7,1,15,0,32,0,32,0,0,0,0,0,0,0,0,140,56,21,217,6,92,4,102,114,462,106,0,153,139,326,0,26,139,0,0,0,420,252,"$188,602"
Precinct 1 Place 1,1/2022,"1,919",461,289,0,289,66,44,6,0,0,526,642,107,"1,258","15,483","20,321","17,797",58,48,59,0,0,0,332,171,355,340,196,379,65,66,68,"18,658","16,278","20,802",0,0,697,"7,246",83,980,"8,227",489,"1,127","2,550","4,550",17,3,0,20,4,112,4,120,0,0,0,0,10,1,0,11,125,85,21,231,22,210,30,262,102,464,131,101,279,205,616,30,85,336,0,0,0,489,237,"$222,801"
Precinct 1 Place 1,1/2022,"1,873",446,227,1,228,131,48,10,0,0,658,847,146,"1,470","16,117","20,358","18,385",55,49,61,0,0,0,338,173,359,335,183,355,66,66,70,"19,230","16,911","20,829",0,0,407,"6,956",86,703,"7,662",341,764,"2,526","4,372",18,3,0,21,5,29,8,42,0,0,0,0,45,0,27,72,58,47,15,120,9,140,24,173,90,252,65,121,256,131,350,23,97,275,0,0,0,341,257,"$157,702"
Precinct 1 Place 1,1/2022,"1,947",474,194,1,195,89,39,19,0,0,949,"1,096",136,"1,658","16,656","20,248","18,999",62,49,63,0,0,0,343,173,388,342,182,370,61,72,65,"19,885","17,464","20,724",0,0,606,"6,073",85,699,"6,772",352,759,"2,518","3,495",14,0,14,28,7,40,6,53,0,0,0,0,13,0,55,68,55,34,21,110,51,142,33,226,169,346,91,102,242,92,308,20,149,214,0,0,0,352,224,"$176,390"
Precinct 1 Place 1,1/2022,"1,492",363,185,0,185,93,42,11,0,0,714,860,124,"1,401","17,115","20,108","18,917",57,49,60,0,0,0,346,188,369,359,182,383,57,75,60,"19,789","17,934","20,602",0,0,708,"6,101",85,681,"6,782",396,844,"2,447","3,491",11,0,4,15,5,60,3,68,0,0,0,0,27,1,19,47,43,21,23,87,19,153,19,191,123,396,189,115,220,133,368,25,93,273,0,0,0,395,244,"$167,940"
Precinct 1 Place 1,1/2022,"1,496",295,191,4,195,65,33,0,0,0,418,516,131,"1,034","17,239","20,138","18,948",58,48,60,0,0,0,345,199,372,356,177,409,58,73,58,"19,847","18,056","20,635",0,0,646,"6,258",85,655,"6,913",275,879,"2,421","3,613",25,2,2,29,2,51,3,56,0,0,0,0,0,0,7,7,83,18,6,107,23,140,30,193,179,402,65,113,246,128,339,22,70,263,0,0,0,275,187,"$163,204"
Precinct 1 Place 1,1/2022,"1,523",358,220,2,222,131,45,9,0,0,979,"1,164",205,"1,815","17,733","20,118","19,538",55,48,58,0,0,0,352,195,389,399,181,431,57,73,61,"20,477","18,596","20,615",0,0,726,"6,308",85,804,"7,112",634,966,"2,429","3,717",18,1,2,21,3,53,6,62,0,0,1,1,4,0,5,9,118,22,8,148,24,209,40,273,242,424,60,100,267,171,456,19,81,290,0,0,0,634,239,"$187,382"
Precinct 1 Place 1,1/2022,"1,338",351,209,1,210,93,69,3,1,0,949,"1,115",125,"1,706","17,202","20,378","18,830",51,49,53,0,0,0,346,207,366,402,182,438,57,75,60,"19,747","18,058","20,891",0,0,558,"6,432",86,562,"6,995",354,882,"2,429","3,684",12,0,0,12,4,64,5,73,0,0,0,0,2,0,2,4,86,20,10,116,28,191,21,240,113,371,74,2,134,102,377,13,51,117,0,0,0,353,257,"$185,131"
Precinct 1 Place 1,1/2022,"1,457",332,180,6,186,88,49,12,0,0,"1,358","1,507",136,"2,071","16,756","20,377","18,464",43,50,55,0,0,0,332,209,368,408,181,434,56,78,63,"19,384","17,595","20,895",0,0,669,"6,748",32,754,"7,505",435,909,"2,465","4,131",12,2,2,16,5,58,6,69,0,0,0,0,68,0,0,68,111,31,18,160,22,185,28,235,189,401,79,47,265,130,406,29,83,206,0,0,0,435,245,"$171,227"
Precinct 1 Place 1,1/2022,"1,362",424,165,0,165,81,38,7,0,0,887,"1,013",122,"1,508","16,029","20,485","17,725",45,51,46,0,0,0,315,218,355,346,166,391,58,78,62,"18,579","16,793","20,998",0,0,574,"6,668",32,727,"7,395",470,874,"2,449","4,072",6,3,1,10,4,86,4,94,0,0,0,0,3,0,33,36,72,30,14,116,27,182,26,235,136,371,67,70,182,163,464,3,81,236,0,0,0,470,218,"$152,647"
Precinct 1 Place 1,1/2022,"1,242",315,141,0,141,53,49,29,0,0,731,862,124,"1,343","15,898","20,533","17,386",41,52,47,0,0,0,277,217,318,350,165,370,53,77,55,"18,176","16,619","21,044",0,0,626,"7,023",31,615,"7,638",248,783,"2,453","4,402",13,1,0,14,2,61,4,67,0,0,0,0,7,0,35,42,45,39,15,99,26,130,22,178,168,376,82,101,194,111,342,3,79,215,0,0,0,248,217,"$171,786"
Precinct 1 Place 1,1/2023,"1,224",523,155,1,156,53,36,53,1,0,759,902,167,"1,452","15,861","20,447","17,540",44,52,45,0,0,0,286,226,318,353,166,385,53,77,56,"18,344","16,597","20,968",0,0,632,"7,023",32,677,"7,701",279,841,"2,459","4,401",10,1,2,13,6,53,9,68,0,1,0,1,39,0,18,57,103,38,12,153,30,154,40,224,151,403,78,51,239,109,356,1,82,161,0,0,0,279,218,"$170,423"
Precinct 1 Place 1,1/2023,"1,328","3,302",172,0,172,123,38,33,0,0,"3,011","3,205",172,"3,806","15,874","20,202","20,381",41,52,49,0,0,0,288,227,346,358,167,409,49,76,55,"21,240","16,610","20,724",0,0,903,"7,175",33,799,"7,976",372,"1,026","2,468","4,482",11,0,2,13,5,64,5,74,0,0,0,0,0,0,0,0,73,46,20,139,54,153,111,318,276,544,83,93,236,118,381,44,182,255,0,0,0,372,270,"$209,289"
Precinct 1 Place 1,1/2023,"1,235","7,686",175,1,176,71,48,21,0,0,"6,887","7,027",149,"7,568","16,325","17,312","25,008",45,49,78,0,0,0,295,210,398,356,153,427,50,74,81,"25,992","17,071","17,798",0,0,"1,030","6,700",39,"1,313","8,019",349,"1,227","2,286","4,506",18,0,1,19,5,83,33,121,0,0,0,0,16,0,4,20,85,172,19,276,74,161,90,325,357,622,51,137,335,234,650,181,328,552,0,0,0,349,219,"$244,274"
Precinct 1 Place 1,1/2023,"1,137","1,987",163,0,163,76,43,55,0,1,"4,819","4,994",118,"5,402","17,331","10,135","20,362",49,23,55,0,0,0,314,157,353,352,96,382,59,50,77,"21,229","18,105","10,461",0,0,"1,026","6,650",41,"1,218","7,869",347,"1,220","2,059","4,590",27,2,1,30,4,59,10,73,0,0,0,0,0,1,0,1,52,134,21,207,139,149,169,457,329,623,74,174,396,197,542,79,280,450,0,0,0,347,132,"$249,148"
Precinct 1 Place 1,1/2023,"1,598",203,183,8,191,50,45,79,0,0,"1,076","1,250",176,"1,768","14,824","8,538","16,558",41,19,43,0,0,0,308,146,330,320,82,360,51,36,54,"17,345","15,544","8,821",0,0,"1,069","6,202",42,"1,573","7,777",314,"1,394","1,867","4,516",29,0,0,29,15,77,13,105,0,0,0,0,0,0,0,0,121,194,22,337,145,178,256,579,292,708,69,186,496,286,735,51,342,523,0,0,0,314,153,"$270,829"
Precinct 1 Place 1,1/2023,"1,203",244,169,4,173,82,54,66,0,0,"1,052","1,254",150,"1,743","14,587","8,638","15,970",38,20,42,0,0,0,294,157,340,320,78,333,48,39,49,"16,734","15,287","8,932",1,0,"1,270","6,134",43,"1,369","7,504",415,"1,509","1,617","4,378",33,0,2,35,8,89,25,122,0,0,0,0,8,0,24,32,111,203,20,334,70,151,95,316,342,849,79,200,430,269,712,61,227,530,0,0,0,416,167,"$283,835"
Precinct 1 Place 1,1/2023,"1,351",222,129,1,130,31,22,1,0,0,150,204,139,629,"13,922","8,818","15,452",39,19,41,0,0,0,295,151,323,299,77,312,47,38,47,"16,175","14,602","9,103",0,0,"1,172","5,799",45,"1,512","7,313",230,"1,626","1,445","4,242",29,0,1,30,12,117,20,149,0,0,0,0,17,0,4,21,164,168,6,338,77,194,65,336,281,829,62,251,550,288,767,99,195,638,0,0,0,230,159,"$251,187"
Precinct 1 Place 1,1/2023,"1,384",219,147,4,151,85,67,105,0,0,"1,129","1,386",194,"1,870","14,638","8,822","16,181",40,18,42,0,0,0,302,156,324,305,77,337,45,38,49,"16,933","15,330","9,111",1,0,"1,435","5,728",44,"1,534","7,264",201,"1,775","1,343","4,146",39,0,1,40,16,152,22,190,0,0,0,0,0,0,0,0,88,208,15,311,59,221,72,352,436,915,84,194,396,381,962,66,176,641,0,0,0,201,143,"$369,663"
Precinct 1 Place 1,1/2023,"1,130",188,170,0,170,104,40,80,0,0,948,"1,172",190,"1,654","14,077","8,796","15,350",39,17,46,0,0,0,264,162,290,309,79,321,40,38,40,"16,047","14,729","9,092",0,0,"1,196","5,523",47,"1,415","6,943",325,"1,640","1,245","4,058",24,0,2,26,11,135,22,168,0,0,0,0,4,0,6,10,82,197,12,291,86,173,50,309,302,825,69,200,407,324,829,87,179,611,0,0,0,325,122,"$260,339"
Precinct 1 Place 1,1/2023,"1,140",190,157,0,157,77,46,85,0,0,"1,242","1,450",132,"1,879","13,179","8,928","14,449",40,17,45,0,0,0,247,163,279,297,80,320,34,39,34,"15,127","13,797","9,227",0,0,"1,281","5,459",46,"1,358","6,819",653,"1,672","1,147","4,000",20,1,3,24,13,123,9,145,0,0,0,0,1,0,0,1,91,229,11,331,96,215,38,349,337,864,80,140,361,339,907,29,90,508,0,0,0,653,139,"$261,925"
Precinct 1 Place 1,1/2023,"1,047",210,120,5,125,78,44,32,0,0,801,955,148,"1,358","11,998","9,389","13,206",40,17,44,0,0,0,248,164,284,275,82,284,33,39,33,"13,851","12,594","9,691",1,0,"1,262","5,461",46,"1,361","6,824",546,"1,545","1,140","4,139",16,0,5,21,11,127,5,143,0,0,0,0,10,0,7,17,115,167,8,290,123,177,27,327,414,778,70,175,450,315,786,73,125,563,0,0,0,545,133,"$223,170"
Precinct 1 Place 1,1/2023,"1,471",187,97,0,97,71,41,34,0,0,624,770,103,"1,102","11,394","9,701","12,994",39,18,54,0,0,0,253,170,277,242,95,259,28,43,30,"13,614","11,956","10,027",0,0,"1,100","5,428",47,"1,171","6,600",628,"1,513","1,096","3,991",16,3,2,21,3,139,4,146,0,0,0,0,26,0,8,34,87,179,10,276,37,179,12,228,272,753,75,107,276,352,852,7,43,466,0,0,0,626,132,"$208,311"
Precinct 1 Place 1,1/2024,"1,537",248,155,0,155,44,26,6,0,0,207,283,176,759,"11,329","10,130","13,053",45,21,52,0,0,0,255,174,285,239,98,263,26,45,26,"13,679","11,894","10,468",0,0,"1,531","5,666",47,"1,295","6,962",812,"1,662","1,126","4,174",28,0,2,30,6,119,4,129,0,0,0,0,28,0,12,40,152,166,7,325,78,198,29,305,456,"1,001",74,124,416,283,766,59,113,466,0,0,0,812,148,"$254,945"
Precinct 1 Place 1,1/2024,"1,658",259,180,1,181,87,42,28,0,0,682,839,148,"1,327","11,549","10,676","13,408",44,22,50,0,0,0,251,183,280,242,104,264,22,47,23,"14,025","12,108","11,032",0,0,"1,557","5,855",47,"1,374","7,231",445,"1,826","1,114","4,291",32,1,6,39,6,114,4,124,0,0,0,0,10,0,15,25,90,221,10,321,62,232,25,319,531,924,102,168,368,329,897,49,109,546,0,0,0,445,164,"$265,152"
Precinct 1 Place 1,1/2024,"1,719",424,205,4,209,117,35,32,0,0,997,"1,181",185,"1,804","11,694","10,868","13,773",45,23,55,0,0,0,253,176,277,239,105,268,21,47,22,"14,395","12,252","11,219",0,0,"1,172","5,784",48,"1,276","7,063",571,"1,611","1,083","4,369",30,0,3,33,7,92,4,103,0,0,0,0,14,1,20,35,122,194,10,326,30,262,23,315,432,666,74,182,385,271,820,11,71,464,0,0,0,571,230,"$232,833"
Precinct 1 Place 1,1/2024,"1,979",470,191,1,192,116,65,51,0,0,"1,091","1,323",190,"1,902","11,527","11,019","13,931",45,24,52,0,0,0,240,169,256,215,107,236,20,47,21,"14,496","12,047","11,366",2,0,"1,405","6,045",47,"1,186","7,232",297,"1,548","1,101","4,583",37,0,2,39,6,105,12,123,0,0,0,0,20,0,6,26,122,198,10,330,48,183,22,253,567,751,87,157,390,235,721,23,75,415,0,0,0,298,203,"$254,103"
Precinct 1 Place 1,1/2024,"2,011","1,037",204,0,204,105,51,40,0,0,"1,436","1,632",233,"2,306","11,825","10,855","14,792",42,24,47,0,0,0,240,162,272,217,105,259,18,47,20,"15,390","12,342","11,193",0,0,"1,372","6,338",47,"1,122","7,460",495,"1,650","1,124","4,686",33,0,3,36,6,93,16,115,0,0,0,0,1,0,0,1,130,155,11,296,50,188,11,249,467,810,95,157,377,252,688,16,57,425,0,0,0,495,250,"$261,061"
Precinct 1 Place 1,1/2024,"1,520",857,177,0,177,115,62,41,0,0,"1,442","1,660",176,"2,219","12,101","10,338","14,392",38,19,42,0,0,0,239,151,287,241,97,271,16,46,20,"15,012","12,635","10,651",0,0,"1,505","6,621",48,"1,246","7,870",65,"1,816","1,180","4,874",46,1,4,51,8,122,10,140,1,1,0,2,0,0,0,0,211,180,13,404,65,174,26,265,550,848,107,113,444,257,735,14,67,384,0,0,0,62,208,"$248,647"
Precinct 1 Place 1,1/2024,"1,580",187,152,0,152,75,23,1,0,0,226,325,180,793,"12,227","9,545","13,943",38,17,39,0,0,0,233,166,254,246,87,272,17,44,20,"14,528","12,761","9,859",0,0,"1,458","6,844",49,"1,263","8,108",159,"1,940","1,196","4,972",30,1,6,37,5,108,10,123,0,0,0,0,0,0,0,0,114,240,14,368,46,175,17,238,522,852,84,78,273,381,905,38,85,497,0,0,0,159,138,"$234,698"
Precinct 1 Place 1,1/2024,"1,457",988,207,1,208,133,70,34,0,0,"1,704","1,941",222,"2,534","13,027","9,518","15,372",36,17,39,0,0,0,236,162,258,262,90,332,19,44,24,"16,025","13,580","9,831",0,0,"1,791","7,412",51,"1,297","8,711",494,"1,993","1,223","5,495",41,1,2,44,6,110,14,130,0,0,0,0,4,0,10,14,139,212,12,363,47,165,38,250,722,958,111,127,364,344,832,25,101,496,0,0,0,494,175,"$305,741"
Precinct 1 Place 1,1/2024,"1,926",397,177,0,177,106,84,41,0,0,980,"1,211",186,"1,692","12,477","9,035","14,664",31,17,33,0,0,0,232,162,265,293,81,379,19,42,34,"15,375","13,052","9,337",0,0,"1,467","7,550",50,"1,362","8,913",494,"2,005","1,226","5,682",44,1,4,49,4,140,11,155,0,0,0,0,10,0,10,20,168,195,10,373,28,207,21,256,522,843,102,106,360,379,922,24,80,509,0,0,0,494,118,"$266,479"
