Case Number,Case Subtype,Case File Date,Claim Amount,Case Status,Next Hearing Desc,Next Hearing Date,Disposition Desc,Disposition Date,Judgment Text,Judgment Date,Judgment Amount,Attorney Fees,Court Costs,Pre-Judg Int Rate,Post-Judg Int Rate,PATT,DATT,JFP,JFD
241200062298,Eviction,02/16/2024,1379.0,Disposed,Eviction Docket,03/08/2024,Trial or Hearing by Judge (OCA),03/08/2024,Final Judgment,03/08/2024,0.0,0.0,0.0,0.0,,0,0,0,0
241200062419,Eviction,02/19/2024,957.0,Disposed,Eviction Docket,03/08/2024,Default Judgment (OCA),03/08/2024,Default Judgment,03/08/2024,2197.0,0.0,129.0,0.0,8.5,0,0,0,0
241200063852,Eviction,02/20/2024,0.0,Disposed,Eviction Docket,03/12/2024,Trial or Hearing by Judge (OCA),03/12/2024,Final Judgment,03/12/2024,0.0,0.0,204.0,0.0,8.5,1,0,0,0
241200064516,Eviction,02/19/2024,7625.03,Disposed,Eviction Docket,03/21/2024,Default Judgment (OCA),03/21/2024,Default Judgment,03/21/2024,7067.0,129.0,0.0,0.0,8.5,0,0,0,0
241200065322,Eviction,02/20/2024,2055.0,Appeal,Eviction Docket,03/12/2024,Appeal Filed,03/18/2024,Default Judgment,03/12/2024,2788.0,0.0,129.0,0.0,8.5,0,0,0,0
241200065329,Eviction,02/20/2024,2017.53,Disposed,Eviction Docket,03/12/2024,Default Judgment (OCA),03/12/2024,Default Judgment,03/12/2024,2187.0,0.0,129.0,0.0,8.5,0,0,0,0
241200067543,Eviction,02/22/2024,2274.17,Appeal,Eviction Docket,03/12/2024,Appeal Filed,03/12/2024,Default Judgment,03/12/2024,2656.0,0.0,204.0,0.0,8.5,0,0,0,0
241200068457,Eviction,02/22/2024,1710.0,Disposed,Eviction Docket,03/12/2024,Default Judgment (OCA),03/12/2024,Default Judgment,03/12/2024,1707.0,0.0,204.0,0.0,8.5,1,0,0,0
241200068775,Eviction,02/23/2024,12650.0,Disposed,Eviction Docket,03/12/2024,Default Judgment (OCA),03/12/2024,Default Judgment,03/12/2024,6930.0,0.0,129.0,0.0,8.5,0,0,0,0
241200068782,Eviction,02/23/2024,8450.0,Disposed,Eviction Docket,03/12/2024,Trial or Hearing by Judge (OCA),03/12/2024,Final Judgment,03/12/2024,7260.0,0.0,129.0,0.0,8.5,0,0,0,0
241200068793,Eviction,02/23/2024,5820.09,Disposed,Eviction Docket,03/21/2024,Default Judgment (OCA),03/21/2024,Default Judgment,03/21/2024,8110.0,0.0,129.0,0.0,8.5,0,0,0,0
241200074551,Eviction,02/27/2024,3363.0,Disposed,Eviction Docket,03/12/2024,Default Judgment (OCA),03/12/2024,Default Judgment,03/12/2024,3200.0,0.0,129.0,0.0,8.5,0,0,0,0
241200075369,Eviction,02/28/2024,2510.6,Appeal,Hearing,03/27/2024,Appeal Filed,03/26/2024,Final Judgment,03/21/2024,2811.0,0.0,129.0,0.0,8.5,0,0,0,0
241200075442,Eviction,02/28/2024,2570.51,Disposed,Eviction Docket,03/26/2024,Default Judgment (OCA),03/26/2024,Default Judgment,03/26/2024,3854.0,0.0,204.0,0.0,8.5,0,0,0,0
241200076738,Eviction,02/29/2024,12110.48,Disposed,Eviction Docket,03/21/2024,Default Judgment (OCA),03/21/2024,Default Judgment,03/21/2024,8922.0,0.0,134.0,0.0,8.5,0,0,0,0
241200078587,Eviction,03/01/2024,0.0,Disposed,Eviction Docket,03/21/2024,Trial or Hearing by Judge (OCA),03/21/2024,Final Judgment,03/21/2024,0.0,0.0,0.0,0.0,,0,0,0,0
241200078597,Eviction,03/01/2024,0.0,Disposed,Eviction Docket,03/21/2024,Default Judgment (OCA),03/21/2024,Default Judgment,03/21/2024,0.0,0.0,129.0,0.0,8.5,0,0,0,0
241200080456,Eviction,03/04/2024,3100.0,Appeal,Eviction Docket,03/21/2024,Appeal Filed,03/26/2024,Default Judgment,03/21/2024,2600.0,0.0,204.0,0.0,8.5,0,0,0,0
241200082231,Eviction,03/04/2024,1440.0,Disposed,Eviction Docket,03/21/2024,Default Judgment (OCA),03/21/2024,Default Judgment,03/21/2024,1207.0,600.0,129.0,0.0,8.5,1,0,0,0
241200083690,Eviction,03/06/2024,2949.0,Disposed,Eviction Docket,03/26/2024,Trial or Hearing by Judge (OCA),03/26/2024,Final Judgment,03/26/2024,0.0,0.0,129.0,0.0,8.5,0,0,0,0
241200083701,Eviction,03/05/2024,8474.15,Disposed,Eviction Docket,03/26/2024,Default Judgment (OCA),03/26/2024,Default Judgment,03/26/2024,7804.0,0.0,204.0,0.0,8.5,0,0,0,0
241200085174,Eviction,03/07/2024,0.0,Disposed,Eviction Docket,03/08/2024,Default Judgment (OCA),03/21/2024,Default Judgment,03/21/2024,0.0,0.0,204.0,0.0,8.5,0,0,0,0
241200085349,Eviction,03/07/2024,2575.0,Disposed,Eviction Docket,03/21/2024,Trial or Hearing by Judge (OCA),03/21/2024,Final Judgment,03/21/2024,2525.0,0.0,129.0,0.0,8.5,0,0,0,0
241200085481,Eviction,03/07/2024,4625.0,Disposed,Eviction Docket,03/21/2024,Trial or Hearing by Judge (OCA),03/21/2024,Final Judgment,03/21/2024,0.0,0.0,0.0,0.0,,0,0,0,0
241200085499,Eviction,03/07/2024,416.0,Disposed,Eviction Docket,03/21/2024,Trial or Hearing by Judge (OCA),03/21/2024,Final Judgment,03/21/2024,0.0,0.0,0.0,0.0,,0,1,0,0
241200085614,Eviction,03/07/2024,5043.67,Disposed,Eviction Docket,03/21/2024,Default Judgment (OCA),03/21/2024,Default Judgment,03/21/2024,3505.0,0.0,129.0,0.0,8.5,0,0,0,0
241200087264,Eviction,03/08/2024,2564.29,Appeal,Eviction Docket,03/26/2024,Appeal Filed,04/02/2024,Default Judgment,03/26/2024,2013.0,0.0,129.0,0.0,8.5,0,0,0,0
241200087655,Eviction,03/08/2024,0.0,Disposed,Eviction Docket,03/26/2024,Default Judgment (OCA),03/26/2024,Default Judgment,03/26/2024,0.0,0.0,129.0,0.0,8.5,0,0,0,0
241200089303,Eviction,03/08/2024,0.0,Appeal,Eviction Docket,03/26/2024,Appeal Filed,04/01/2024,Final Judgment,03/26/2024,0.0,0.0,129.0,0.0,8.5,1,0,0,0
241200091367,Eviction,03/12/2024,1494.0,Disposed,Eviction Docket,03/26/2024,Trial or Hearing by Judge (OCA),03/26/2024,Final Judgment,03/26/2024,1367.0,0.0,129.0,0.0,8.5,0,0,0,0
241200091404,Eviction,03/12/2024,1047.0,Disposed,Eviction Docket,03/26/2024,Trial or Hearing by Judge (OCA),03/26/2024,Final Judgment,03/26/2024,1388.0,0.0,129.0,0.0,8.5,0,0,0,0
241200091748,Eviction,03/11/2024,5164.41,Appeal,Eviction Docket,03/26/2024,Appeal Filed,04/01/2024,Final Judgment,03/26/2024,4435.0,0.0,129.0,0.0,8.5,0,0,0,0
241200091784,Eviction,03/11/2024,2123.42,Disposed,Eviction Docket,03/26/2024,Default Judgment (OCA),03/26/2024,Default Judgment,03/26/2024,1618.0,0.0,129.0,0.0,8.5,0,0,0,0
241200091852,Eviction,03/12/2024,1905.0,Disposed,Eviction Docket,03/26/2024,Default Judgment (OCA),03/26/2024,Default Judgment,03/26/2024,1651.0,0.0,129.0,0.0,8.5,0,0,0,0
CV12C0131005,Small Claims,02/05/2013,2244.03,Disposed,Default Docket,04/25/2024,Trial or Hearing by Judge (OCA),04/25/2024,Final Judgment,04/25/2024,0.0,0.0,0.0,0.0,,1,1,0,0
CV12C0131124,Small Claims,02/08/2013,1232.64,Disposed,Default Docket,04/25/2024,Trial or Hearing by Judge (OCA),04/25/2024,Final Judgment,04/25/2024,0.0,0.0,0.0,0.0,,1,0,0,0
CV12C0131246,Small Claims,02/12/2013,4765.25,Disposed,Default Docket,04/25/2024,Trial or Hearing by Judge (OCA),04/25/2024,Final Judgment,04/25/2024,0.0,0.0,0.0,0.0,,1,0,0,0
181200410824,Debt Claim,08/30/2018,1176.84,Disposed,Judge Trial,04/22/2024,Default Judgment (OCA),04/22/2024,Default Judgment,04/22/2024,1176.84,0.0,132.92,0.0,8.5,1,1,0,0
181200420910,Debt Claim,09/11/2018,8966.96,Disposed,Intent to Dismiss for Want of Prosecution,12/16/2021,Agreed Judgment (OCA),04/26/2024,Agreed Judgment,04/26/2024,8966.96,0.0,131.5,0.0,,1,1,0,0
181200425053,Debt Claim,09/17/2018,2430.84,Disposed,Judge Trial,04/22/2024,Trial or Hearing by Judge (OCA),04/22/2024,Final Judgment,04/22/2024,0.0,0.0,0.0,0.0,,1,0,0,0
181200480920,Debt Claim,10/30/2018,5737.39,Disposed,Intent to Dismiss for Want of Prosecution,12/16/2021,Agreed Judgment (OCA),04/15/2024,Agreed Judgment,04/15/2024,5737.39,0.0,122.0,0.0,8.5,1,1,0,0
181200489079,Debt Claim,11/01/2018,3198.71,Disposed,Judge Trial,04/22/2024,Default Judgment (OCA),04/22/2024,Default Judgment,04/22/2024,3198.71,0.0,131.5,0.0,8.5,1,0,0,0
191200100787,Debt Claim,03/06/2019,2172.95,Disposed,Judge Trial,04/22/2024,Default Judgment (OCA),04/22/2024,Default Judgment,04/22/2024,2172.95,0.0,132.92,0.0,,1,0,0,0
191200131811,Debt Claim,03/26/2019,1716.64,Disposed,Intent to Dismiss for Want of Prosecution,03/08/2022,Agreed Judgment (OCA),04/06/2024,Agreed Judgment,04/06/2024,1716.64,0.0,132.92,0.0,,1,1,0,0
191200131912,Debt Claim,03/26/2019,6219.6,Disposed,Judge Trial,04/22/2024,Default Judgment (OCA),04/22/2024,Default Judgment,04/22/2024,6219.6,0.0,134.98,0.0,8.5,1,1,0,0
191200140921,Debt Claim,04/02/2019,5211.78,Disposed,Judge Trial,04/15/2024,Default Judgment (OCA),04/15/2024,Default Judgment,04/15/2024,5211.78,0.0,122.0,0.0,8.5,1,1,0,0
191200150132,Debt Claim,04/05/2019,2802.56,Disposed,Intent to Dismiss for Want of Prosecution,03/10/2022,Agreed Judgment (OCA),04/01/2024,Agreed Judgment,04/01/2024,2802.56,0.0,49.0,0.0,8.5,1,1,0,0
191200150343,Debt Claim,04/09/2019,1620.93,Disposed,Intent to Dismiss for Want of Prosecution,03/10/2022,Agreed Judgment (OCA),04/03/2024,Agreed Judgment,04/03/2024,1620.93,0.0,132.92,0.0,,1,1,0,0
191200150485,Debt Claim,04/09/2019,3844.09,Disposed,Intent to Dismiss for Want of Prosecution,03/10/2022,Agreed Judgment (OCA),04/20/2024,Agreed Judgment,04/20/2024,3768.09,0.0,132.92,0.0,,1,1,0,0
191200154313,Debt Claim,04/10/2019,1221.74,Disposed,Intent to Dismiss for Want of Prosecution,03/10/2022,Agreed Judgment (OCA),04/14/2024,Agreed Judgment,04/14/2024,1221.74,0.0,132.92,0.0,,1,1,0,0
191200164825,Debt Claim,04/16/2019,4052.42,Disposed,Judge Trial,04/22/2024,Default Judgment (OCA),04/22/2024,Default Judgment,04/22/2024,4052.42,0.0,131.5,0.0,8.5,1,0,0,0
191200172744,Debt Claim,04/23/2019,4952.87,Disposed,Judge Trial,04/22/2024,Default Judgment (OCA),04/22/2024,Default Judgment,04/22/2024,4952.87,0.0,131.5,0.0,8.5,1,1,0,0
191200177026,Debt Claim,04/25/2019,2308.09,Disposed,,,Agreed Judgment (OCA),04/23/2024,Agreed Judgment,04/23/2024,2308.09,0.0,131.5,0.0,8.5,1,1,0,0
191200189607,Debt Claim,05/03/2019,3459.48,Disposed,Judge Trial,04/22/2024,Default Judgment (OCA),04/22/2024,Default Judgment,04/22/2024,3459.48,0.0,131.5,0.0,8.5,1,1,0,0
191200201218,Debt Claim,05/14/2019,3159.66,Disposed,Judge Trial,04/22/2024,Agreed Judgment (OCA),04/22/2024,Final Judgment,04/22/2024,3159.66,0.0,49.0,0.0,,1,1,0,0
191200205194,Debt Claim,05/17/2019,3570.5,Disposed,Judge Trial,04/22/2024,Default Judgment (OCA),04/22/2024,Default Judgment,04/22/2024,3570.5,0.0,132.92,0.0,,1,0,0,0
191200211390,Debt Claim,05/20/2019,1941.09,Disposed,Judge Trial,04/22/2024,Default Judgment (OCA),04/22/2024,Default Judgment,04/22/2024,1941.09,0.0,131.5,0.0,8.5,1,0,0,0
191200227553,Debt Claim,06/03/2019,,Disposed,Judge Trial,04/22/2024,Default Judgment (OCA),04/22/2024,Default Judgment,04/22/2024,1199.52,0.0,132.92,0.0,,1,0,0,0
191200230554,Debt Claim,06/04/2019,4711.39,Disposed,Intent to Dismiss for Want of Prosecution,03/24/2022,Agreed Judgment (OCA),04/20/2024,Agreed Judgment,04/20/2024,4711.39,0.0,131.5,0.0,,1,1,0,0
